employee_id,gross_salary,tax_deduction,pf_deduction,net_salary
1001,52500,10000,2500,45000
1002,36000,3500,1750,30750
,,,,
1004,59000,5500,2750,50750
1005,,3000,,27500
1006,33500,3200,1600,28700
1007,85000,8000,4000,73000
1008,60500,6000,3000,51500
1009,71000,7000,3500,60500
1010,68000,6500,3250,58250
1011,96000,9000,4500,82500
1012,77000,7500,3750,65750
1013,87500,8500,4250,74750
1014,36500,3600,1800,31100
1015,33500,3200,1600,28700
1016,55500,5200,2600,47700
1017,35000,3400,1700,29900
1018,40000,3800,1900,34300
1019,42000,4200,2100,35700
1020,82500,7800,3900,70800
